image,score,prediction
F1.png,1.0,True
F10.png,1.0,True
F100.png,1.0,True
F1000.png,1.0,True
F1001.png,1.0,True
F1002.png,1.0,True
F1003.png,1.0,True
F1004.png,1.0,True
F1005.png,0.0,False
F1006.png,1.0,True
F1007.png,0.0,False
F1008.png,0.0,False
F1009.png,1.0,True
F101.png,0.0,False
F1010.png,1.0,True
F1011.png,1.0,True
F1012.png,1.0,True
F1013.png,1.0,True
F1014.png,1.0,True
F1015.png,1.0,True
F1016.png,1.0,True
F1017.png,1.0,True
F1018.png,1.0,True
F1019.png,1.0,True
F102.png,1.0,True
F1020.png,0.99999976,True
F1021.png,1.0,True
F1022.png,1.0,True
F1023.png,1.0,True
F1024.png,5.68748e-20,False
F1025.png,1.0,True
F1026.png,1.0,True
F1027.png,1.0,True
F1028.png,1.0,True
F1029.png,1.0,True
F103.png,1.0,True
F1030.png,1.0,True
F1031.png,0.0,False
F1032.png,1.0,True
F1033.png,1.0,True
F1034.png,1.0,True
F1035.png,1.0,True
F1036.png,1.0,True
F1037.png,0.0,False
F1038.png,1.0,True
F1039.png,1.0,True
F104.png,1.0,True
F1040.png,1.0,True
F1041.png,1.0,True
F1042.png,1.0,True
F1043.png,1.0,True
F1044.png,1.0,True
F1045.png,1.0,True
F1046.png,1.0,True
F1047.png,1.0,True
F1048.png,1.0,True
F1049.png,1.0,True
F105.png,1.0,True
F1050.png,1.0,True
F1051.png,1.0,True
F1052.png,1.0,True
F1053.png,1.0,True
F1054.png,1.0,True
F1055.png,1.0,True
F1056.png,1.0,True
F1057.png,0.0,False
F1058.png,1.0,True
F1059.png,1.0,True
F106.png,1.0,True
F1060.png,1.0,True
F1061.png,1.0,True
F1062.png,1.0,True
F1063.png,1.0,True
F1064.png,1.0,True
F1065.png,1.0,True
F1066.png,1.0,True
F1067.png,1.0,True
F1068.png,0.0,False
F1069.png,0.0,False
F107.png,1.0,True
F1070.png,1.0,True
F1071.png,1.0,True
F1072.png,1.0,True
F1073.png,0.0,False
F1074.png,0.0,False
F1075.png,0.0,False
F1076.png,1.0,True
F1077.png,0.64549243,True
F1078.png,1.0,True
F1079.png,1.0,True
F108.png,1.0,True
F1080.png,1.0,True
F1081.png,0.0,False
F1082.png,1.0,True
F1083.png,0.0,False
F1084.png,1.0,True
F1085.png,1.0,True
F1086.png,1.0,True
