image,score,prediction
F1.png,1.0,True
F10.png,0.0,False
F100.png,0.0,False
F1000.png,1.0,True
F1001.png,0.0,False
F1002.png,0.0,False
F1003.png,0.0,False
F1004.png,0.0,False
F1005.png,0.0,False
F1006.png,0.0,False
F1007.png,6.078914e-35,False
F1008.png,2.710358e-17,False
F1009.png,0.0,False
F101.png,0.0,False
F1010.png,1.0,True
F1011.png,1.0,True
F1012.png,1.0,True
F1013.png,0.0,False
F1014.png,0.0,False
F1015.png,0.0,False
F1016.png,0.0,False
F1017.png,0.0,False
F1018.png,0.0,False
F1019.png,1.0,True
F102.png,0.0,False
F1020.png,0.0,False
F1021.png,1.0,True
F1022.png,1.0,True
F1023.png,0.0,False
F1024.png,1.0,True
F1025.png,0.0,False
F1026.png,0.0,False
F1027.png,0.0,False
F1028.png,0.0,False
F1029.png,0.0,False
F103.png,0.0,False
F1030.png,1.0,True
F1031.png,0.0,False
F1032.png,0.0,False
F1033.png,1.0,True
F1034.png,1.0,True
F1035.png,0.0,False
F1036.png,0.0,False
F1037.png,0.0,False
F1038.png,1.0,True
F1039.png,0.0,False
F104.png,0.0,False
F1040.png,1.0,True
F1041.png,1.0,True
F1042.png,0.0,False
F1043.png,1.0,True
F1044.png,1.0,True
F1045.png,0.0,False
F1046.png,0.0,False
F1047.png,0.0,False
F1048.png,1.0,True
F1049.png,0.0,False
F105.png,1.0,True
F1050.png,0.0,False
F1051.png,0.0,False
F1052.png,1.0,True
F1053.png,1.0,True
F1054.png,1.0,True
F1055.png,1.0,True
F1056.png,1.0,True
F1057.png,1.0,True
F1058.png,1.0,True
F1059.png,1.0,True
F106.png,1.0,True
F1060.png,1.0,True
F1061.png,1.0,True
F1062.png,1.0,True
F1063.png,1.0,True
F1064.png,1.0,True
F1065.png,1.0,True
F1066.png,1.0,True
F1067.png,1.0,True
F1068.png,1.0,True
F1069.png,0.0,False
F107.png,0.0,False
F1070.png,1.0,True
F1071.png,1.0,True
F1072.png,1.0,True
F1073.png,1.0,True
F1074.png,1.0,True
F1075.png,1.0,True
F1076.png,1.0,True
F1077.png,1.0,True
F1078.png,0.0,False
F1079.png,0.0,False
F108.png,0.0,False
F1080.png,1.0,True
F1081.png,1.0,True
F1082.png,1.0,True
F1083.png,1.0,True
F1084.png,0.0,False
F1085.png,1.0,True
F1086.png,0.0,False
F1087.png,0.0,False
F1088.png,1.0,True
F1089.png,1.0,True
F109.png,0.0,False
F1090.png,0.0,False
F1091.png,1.0,True
F1092.png,0.0,False
F1093.png,1.0,True
F1094.png,1.0,True
F1095.png,0.0,False
F1096.png,1.0,True
F1097.png,1.0,True
F1098.png,1.0,True
F1099.png,1.0,True
F11.png,1.0,True
F110.png,0.0,False
F1100.png,1.0,True
F1101.png,1.0,True
F1102.png,0.0,False
F1103.png,1.0,True
F1104.png,0.0,False
F1105.png,1.0,True
F1106.png,0.0,False
F1107.png,1.0,True
F1108.png,0.0,False
F1109.png,0.0,False
F111.png,1.0,True
F1110.png,0.0,False
F1111.png,8.224284e-07,False
F1112.png,1.0,True
F1113.png,1.0,True
F1114.png,0.0,False
F1115.png,1.0,True
F1116.png,1.0,True
F1117.png,1.0,True
F1118.png,1.0,True
F1119.png,1.0,True
F112.png,1.0,True
F1120.png,1.0,True
F1121.png,1.0,True
F1122.png,0.0,False
F1123.png,0.0,False
F1124.png,1.0,True
F1125.png,1.0,True
F1126.png,1.0,True
F1127.png,1.0,True
F1128.png,1.0,True
F1129.png,0.0,False
F113.png,1.0,True
F1130.png,0.0,False
F1131.png,1.0,True
F1132.png,0.0,False
F1133.png,0.0,False
F1134.png,0.0,False
F1135.png,0.0,False
F1136.png,1.0,True
F1137.png,1.0,True
F1138.png,0.0,False
F1139.png,0.0,False
F114.png,0.0,False
F1140.png,1.0,True
F1141.png,1.0,True
F1142.png,1.0,True
F1143.png,0.0,False
F1144.png,1.0,True
F1145.png,0.0,False
F1146.png,0.0,False
F1147.png,0.0,False
F1148.png,0.0,False
F1149.png,1.0,True
F115.png,0.0,False
F1150.png,1.0,True
F1151.png,0.0,False
F1152.png,1.0,True
